"ID","Vetenskapligt namn","Order","Minsta order","Pris med moms","Plantskola","rekomenderas","kommentar","Ätligt","Zon","Storlekskommentar","Typ","höjd","Kruka","Lager","Länk"
"","Astilbe japonica 'Koblenz'","","","62","BS","","","","","","P","","C2","",""
"","Aruncus dioicus 'Sylvester'","","","70","BS","","","","","","P","","C2","",""
"","Astilbe x arendsii 'Amerika'","","","62","BS","","","","","","P","","C2","",""
"","Artemisia dracunculus 'French Dragon'","",12,"28","BS","","","","","","P","","P9","",""
"","Buddleja davidii 'Gulliver' PBR","","","400","S","","","","","","T","60-80","C5","",""
"","Acer platanoides 'Warmia'","","","3714","S","","","","","","T","300-320/stamomf  8-10","C55","",""
"","Achillea ptarmica 'The Pearl' ","","","68","S","","","","","","P","","C2","",""
"","Abies nordmanniana 'Aurea'","","","457","S","","","","","","B","20-30","C3","",""
"","Anemone japonica 'Pamina'","","","62","BS","","","","","","P","","P11","",""
"","Abies alba 'Mlada Bolesłav'","","","1280","Si","","","","","","B","40-50","C10",1,""
"","Berberis thunbergii 'Maria'","","","160","Si","","","","","","T","20-30","C2",54,""
"","Abies nordmanniana 'Kolumnowa'","","","457","S","","","","","","B","30-40","C3","",""
"","Acer platanoides 'Frisine' ","","","1028","S","","","","","","T","140-160 ","C5","",""
"","Acer saccharinum 'Born's Gracious'","","","829","S","","silverlönn","","3","","T","200-220","C7,5","","http://fotodendron.se/trad/acer-saccharinum-borns-gracious/"
"","Acer griseum ex Vågsäter, fin form.","","","416","A","","","","","spö","T","60-80","C3,5",16,""
"","Abies koreana 'Eisregen'","","","1120","Si","","","","","","B","60-70","C12",1,""
"","Betula pendula 'Obelisk'","","","629","S","","","","","","T","160-180","C5","",""
"","Alnus incana 'Laciniata' ","","","786","S","","flikbladig gråal","","","","T","120-140","C7,5","",""
"","Anredera cordifolia  ","","","8","KZ","","","","0","","K","","knöl","",""
"","Ajuga reptans 'Alba'","","","97","S","","vitblommig revsuga (grönbladig)","","","","P","","C3","",""
"","Acer platanoides 'Globosum'","","","1600","Si","","","","","ympad på stam","T","Pa 200","C20",2,"https://www.instagram.com/p/B5nTdFIDCEM/ "
"","Betula pendula 'Youngii'","","","3867","S","","tårbjörk","","6","","T","200-220/stamomf 8-10","C55 Pa","",""
"","Astilboides tabularis","","","220","Li","","parasollblad","","","","P","","C3,5",8,"https://www.instagram.com/p/BFms5QkzUuo/"
"","Bergenia cordifolia 'Silberlicht'","","","85","BS","","","","","","P","","P11","",""
"","Achillea millefolium 'Cerise Queen'","","","62","BS","","","","","","P","","C2","",""
"","Alnus incana 'Foliis Aureomarginatis'","","","686","S","","","","","","T","100-120","C5","",""
"","Astilbe x arendsii 'Biała Mini'","","","42","BS","","","","","","P","","P11","",""
"","Actinidia kolomikta 'Oskar'","","","350","Li","","kameleontbuske, minikiwi","","5","","K","","C5",2,""
"","Acer platanoides 'Purple Globe'","","","4143","S","","","","","","T","180-200","C90 Pa","",""
"","Acer nikoense (maximowiczianum)","","","570","A","","nikkolönn","","","","T","120","C7,5",1,""
"","Acorus calamus","","","62","BS","","","","","","P","","C2","",""
"","Apios americana    ","","","8","KZ","","","","0","","K","","knöl","",""
"","Basilicum officinalis","","","20","Si","","","","","","P","","P9",402,""
"","Aucuba japonica 'Longifolia'","","","220","Li","","smalbladig aukuba","","1","","T","","C2",6,""
"","Berberis thunbergii 'Bagatelle'","","","192","Si","","","","","","T","10-20","C3",11,""
"","Allium 'Millenium'","","","78","BS","","trädgårdskantlök","","","","P","","C2","",""
"","Berberis thunbergii","","","117","S","","","","","","T","40-60","C3","",""
"","Aster novae-angliae 'Andenken an Alma Pötschke'","","","42","BS","","favorit, lysande rosa-cerise-röd","","","","P","","P11","",""
"","Acer griseum ex Vågsäter, fin form.","","","608","A","","","","","flrstm.","T","50-70","C5",14,""
"","Berberis thunbergii 'Tiny Gold' PBR","","","211","S","","","","","","T","20-25","C3","",""
"","Astilbe COLOR FLASH 'Beauty of Ernst' ","","","314","S","","","","","","P","","C5","",""
"","Atriplex halimus    ","","","38","KZ","","","","0","","T","","P9","",""
"","Acer mandchuricum","","","270","A","","","","","","T","20-30","C2",2,""
"","Bistorta officinalis 'Superba' (syn. Polygonum bistorta 'Superbum')","","","55","BS","","","","","","P","","P11","",""
"","Buddleja davidii 'Pink Delight'","","","169","S","","","","","","T","40-60","C3","",""
"","Acer rufinerve","","","3286","S","","","","","","T","300-320","C43","",""
"","Abies alba 'Pyramidalis'","","","442","S","","pelarsilvergran","","4","","B","20-30","C3","",""
"","Acer palmatum 'Garnet'","","","4524","S","","","","","","T","90-120","C12","",""
"","Aster alpinus 'Albus'","","","42","BS","","","","","","P","","P11","",""
"","Aesculus flava","","","1400","S","","gulblommig hästkastanj","","","","T","100-120","C20 Pa","",""
"","Acer miyabei","","","336","A","","","","","","T","20-30","C2",3,""
"","Astilbe x arendsii 'Elizabeth Bloom ®'","","","62","BS","","","","","","P","","C2","",""
"","Abies nordmanniana 'Pendula'","","","743","S","","hängform","","","","B","40-60","C10","","https://www.singtree.com/sites/singtree.com/files/styles/colorbox_large/public/shopify_images/Pendula26.jpg?itok=SJdnBZCA"
"","Anthriscus sylvestris 'Ravenswing'","","","42","BS","","","","","","P","","P11","",""
"","Anemone ×hybrida 'Whirlwind'","","","166","S","","","","","","P","","C3","",""
"","Achillea millefolium 'Paprica'","","","42","BS","","","","","","P","","P11","",""
"","Acer palmatum 'Orangeola'","","","3143","S","","","","","","T","60-80","C12","",""
"","Berberis thunbergii 'Concorde'","","","144","Si","","","","","","T","15-20","C2",55,""
"","Berberis thunbergii 'Golden Carpet'","","","128","Si","","","","","","T","15-25","C1,5",16,""
"","Buddleja davidii 'Black Knight'","","","140","A","","","","","","T","","C3,5",2,""
"","Anemone ×hybrida 'Mont-rose'","","","166","S","","","","","","P","","C3","",""
"","Aesculus hybrida (x)","","","829","S","","","","","","T","80-100","C5","",""
"","Acer x freemanii 'Armstrong'","","","350","Li","","freemanlönn, slående intensiv röd höstfärg på relativt stort träd med samlad upprätt krona, en riktig fackla!","","4","","T","40-60","C2",4,""
"","Asplenium scolopendrium","","","118","Si","","","","","","O","","C2",67,""
"","Asclepias tuberosa","","","62","BS","","","","","","P","","P11","",""
"","Agastache mexicana   ","","","30","KZ","","","","","","P","","P9","",""
"","Agapanthus FIREWORKS 'Mdb 001' PBR","","","514","S","","","","0","","P","","C6","",""
"","Acer pseudoplatanus 'Worley'","","","4000","S","","","","","","T","320-340/stamomf 8-10","C45","",""
"","Astilbe x arendsii 'Czerwona Łodyga'","",12,"54","BS","","","","","","P","","P9","",""
"","Acer palmatum 'Ueno-yama'","","","3143","S","","","","","","T","80-100","C15","",""
"","Ajuga reptans 'Atropurpurea'","",12,"28","BS","","","","","","P","","P9","",""
"","Abies concolor 'Piggelmee '4-Year ","","","2080","Si","","","","","","B","Pa 100","C15",2,""
"","Alnus incana 'Monstrosa'","","","686","S","","","","","","T","100-120","C7,5","",""
"","Acer pseudosiebodianum","","","280","A","","manchurisk solfjäderslönn","","","","T","30-50","C3,5/5",16,""
"","Aesculus pavia 'Rosea Nana'","","","2686","S","","","","","","T","80-100","C43 Pa klump","",""
"","Astrantia major 'Roma®'","","","85","BS","","","","","","P","","P11","",""
"","Buddleja davidii FUNKY FUCHSIA 'PIIBD-II' PBR ","","","400","S","","","","","","T","40-60","C5","",""
"","Anemone hupehensis 'Splendens'","","","157","S","","","","","","P","","C3","",""
"","Acer shirasawanum 'Autumn Moon'","","","3143","S","","","","","","T","60-80","C12","",""
"","Acer nikoense (maximowiczianum)","","","2112","A","","nikkolönn","","","","T","200","C20",1,""
"","Betula pendula 'Spider Alley' PBR","","","4571","S","","","","","","T","200-220 / stamomf  6- 8 ","C130 klump","",""
"","Achillea millefolium 'Cercise Queen'","","","98","Si","","","","","","P","","C3",3,""
"","Anemone hupehensis 'Margarete'","","","166","S","","","","","","P","","C3","",""
"","Bergenia cordifolia 'Bach'","","","120","BS","","","","","","P","","C2","",""
"","Acer palmatum 'Shishigashira'","","","5952","S","","","","","","T","","C55 100/125","",""
"","Berberis thunbergii 'Golden Carpet'","","","136","S","","","","","","T","20-30 ","C3","",""
"","Betula pendula 'Magical Globe'","","","1600","Si","","","","","ympad på stam","T","Pa 160-180","C12",10,""
"","Berberis thunbergii 'Orange Dream' (PBR)","","","211","S","","","","","","T","30-40","C3","",""
"","Acer palmatum 'Aka-shigitatsu-sawa' ","","","2619","S","","","","","","T","60-80","C12","",""
"","Allium nigrum","","","62","BS","","","","","","P","","P11","",""
"","Abies koreana 'Silberlocke'","","","3955","S","","","","","","B","","C8 30/40","",""
"","Amelanchier arborea 'Robin Hill'","","","1400","S","","bra val om man vill bygga upp trädform","","","","T","120-140","C20","",""
"","Antennaria dioica 'Rubra'","",12,"28","BS","","","","","","P","","P9","",""
"","Allium giganteum","","","200","BS","","","","","","P","","C5","",""
"","Berberis thunbergii 'Orange Rocket' (PBR)","","","357","S","","","","","","T","60-80","C7,5","",""
"","Acer pseudoplatanus 'Zenith'","","","1028","S","","","","","","T","100-120","C5","",""
"","Astilbe 'Cattleya'","","","257","S","","","","","","P","","C5","",""
"","Aesculus x carnea 'Briottii'","","","684","A","","","","","","T","160-180","C5/7,5",5,""
"","Aesculus turbinata","","","1760","A","","japansk hästkastanj","","","","T","220-240","C20-25",3,""
"","Astilbe simplicifolia 'Aphrodite'","","","62","BS","","","","","","P","","C2","",""
"","Aster dumosus 'Blaue Lagune'","","","42","BS","","","","","","P","","P11","",""
"","Bergenia cordifolia 'Oeschberg'","","","85","BS","","","","","","P","","C2","",""
"","Amelanchier alnifolia 'Krasnojarskaja'","","","75","KZ","","bärhäggmispel, ätbar","","5","","T","","P9","",""
"","Armeria maritima 'Armada™ Deep Rose'","","","42","BS","","","","","","P","","P11","",""
"","Aesculus  dallimorei +","","","1072","S","","","","","","T","60-80","C7,5","",""
"","Ampelopsis glandulosa 'Elegans'","","","371","S","","","","","","K","120","C5","",""
"","Agapanthus 'Black Magic'","","","98","Si","","violett - svart","","0","","P","","P11",107,""
"","Acer rufinerve 'Albolibatum'","","","3428","S","","","","","","T","180-200","C15","",""
"","Berberis thunbergii 'Golden Tower'","","","224","Si","","","","","","T","40-50","C3",5,""
"","Abies alba 'Fastigiata'","","","3704","S","","","","","","B","50-60","C12.5","",""
"","Aquilegia caerulea 'Maxi'","","","42","BS","","","","","","P","","P11","",""
"","Berberis ottawensis (x) 'Superba'","","","257","S","","","","","","T","60-80","C7,5","",""
"","Artemisia stelleriana","","","62","BS","","","","","","P","","C2","",""
"","Alchemilla mollis 'Thriller'","","","78","Si","","","","","","P","","C1,5",6,""
"","Actaea cordifolia (racemosa var. cordifolia)","","","62","BS","","","","","","P","","P11","",""
"","Abies koreana 'Kohout's Icebreaker'","","","600","S","","","","","","B","20-30","C3","",""
"","Aster novae-angliae 'Barr's Pink'","","","188","S","","","","","","P","","C5","",""
"","Berberis thunbergii 'Harlequin'","","","192","Si","","","","","","T","40-50","C3",25,""
"","Buddleja davidii - róż - siewka ","","","96","Si","","","","","","T","10-20","P14",113,""
"","Aubrieta x cultorum 'Axcent Dark Red'","","","42","BS","","","","","","P","","P11","",""
"","Abies alba 'Mlada Bolesłav'","","","387","S","","","","","","B","15-20","C3","",""
"","Actinidia deliciosa (mannelijke plant), hanplantor","","","92","KZ","","","","","","K","","P9","",""
"","Alnus incana 'Pendula'","","","1743","S","","hängande gråal, snyggt hängträd !","","5","","T","180-200","C20 Pa","",""
"","Aster ericoides 'Snowflurry' (syn. 'Prostratus') ","","","74","S","","","","","","P","","C2","",""
"","Berberis thunbergii 'Orange Torch' PBR","","","236","S","","","","","","T","30-40","C3","",""
"","Actinidia arguta ""Mannelijk"" hanplantor","","","80","Li","","minikiwi","","4","","K","","P9",8,""
"","Betula pendula 'Gracilis'","","","800","S","","","","","","T","120-140","C5 Pa","",""
"","Bellis perennis 'Rominette Weiss'","",12,"28","BS","","","","","","P","","P9","",""
"","Asclepias incarnata 'Ice Ballet'","","","85","BS","","","","","","P","","C2","",""
"","Allium ampeloprasum var. holmense    ","","","38","KZ","","","","","","P","","P9","",""
"","Amelanchier alnifolia GREATBERRY GARDEN","","","493","S","","bärhäggmispel, ätbar","","5","busk","T","60-80","C5","",""
"","Acer platanoides 'Rubrum'","","","1257","S","","","","","","T","120-140","C10 Pa","",""
"","Astilbe x arendsii 'Diamant'","","","62","BS","","","","","","P","","C2","",""
"","Acer negundo 'Tadeusz Szymanowski'","","","600","S","","","","","","T","80-100","C5 Pa","",""
"","Aster divaricatus","",12,"28","BS","","","","","","P","","P9","",""
"","Bergenia 'Bressingham White'","","","90","Li","","","","","","P","","C3",10,""
"","Abies procera 'Glauca'","","","457","S","","","","","","B","20-30","C3","",""
"","Acer japonicum 'Aconitifolium'","","","2160","S","","","","3","ympad, kraftig","T","","C7,5 60-80","","http://fotodendron.se/trad/acer-japonicum-aconitifolium/"
"","Abies nordmanniana 'Golden Spreader'","","","743","S","","","","","","B","40-50","C7,5","",""
"","Aster alpinus 'Goliath'","",12,"28","BS","","","","","","P","","P9","",""
"","Aesculus neglecta (x) 'Erythroblastos'","","","760","S","","väldigt unikt utspring i laxrosa!","","","","T","60-80","C5","","https://www.flickr.com/photos/peterlinder/51815796412/in/dateposted-public/"
"","Abies arnoldiana (x) 'Jadwiga'","","","442","S","","","","","","B","15-20","C3","",""
"","Betula utilis ssp. jacquemontii 'Doorenbos'","","","3400","S","","himalayabjörk","","","","T","300-320 /stamomf 8-10","C45","",""
"","Anthriscus sylvestris","","","42","BS","","","","","","P","","P11","",""
"","Broussonetia papyrifera","","","108","KZ","","pappersmullbär","","1","","T","","P9","",""
"","Berberis thunbergii 'Atropurpurea Nana'","","","160","Si","","","","","","T","20-30","C2",10,""
"","Betula pendula","","","3143","S","","","","","","T","200-220","C45 Pa","",""
"","Aubrieta x cultorum 'Royal Blue'","",12,"28","BS","","","","","","P","","P9","",""
"","Buddleja davidii BUTTERFLY TOWER 'Tobud1305' PBR","","","169","S","","","","","","T","30-40","C3","",""
"","Abies cephalonica 'Meyer's Dwarf'","","","442","S","","","","","","B","20-30","C3","",""
"","Astilbe x arendsii 'Brautschleier'","","","62","BS","","","","","","P","","C2","",""
"","Angelica archangelica","","","30","KZ","","","","","","P","","P9","",""
"","Abies nordmanniana 'Kulista'","","","1857","S","","","","","","B","60-80","C30 klump","",""
"","Buddleja davidii REVE DE PAPILLON LAVENDER 'Bosjer","","","248","S","","","","","","T","60-80","C5","",""
"","Acer pseudoplatanus 'Průhonice'","","","1021","S","","","","","","T","140-160","C5 Pa","",""
"","Acer palmatum 'Shin-deshojo'","","","1972","S","","","","","","T","40-60 ","C9","",""
"","Aster novi-belgii 'Schneeberg'","","","42","BS","","","","","","P","","P11","",""
"","Acer palmatum 'Fireglow'","","","4067","S","","","","","","T","","C18 125/150","",""
"","Aster dumosus 'Early Blue'","","","74","S","","","","","","P","","C2","",""
"","Aster novae-angliae 'Herbstschnee'","","","62","BS","","","","","","P","","C2","",""
"","Berberis thunbergii 'Red Dream' PBR","","","211","S","","","","","","T","40-60 ","C3","",""
"","Astilbe x arendsii 'różowo-czerwona'","","","42","BS","","","","","","P","","P11","",""
"","Betula pendula 'Gracilis'","","","914","S","","","","","","T","140-160","C5 Pa","",""
"","Beta vulgaris subsp. maritima    ","","","30","KZ","","","","","","P","","P9","",""
"","Amelanchier alnifolia 'Obelisk'","","","3810","S","","smal, samlad kronform","","5","busk","T","200-220","C43 klump","",""
"","Allium carinatum","","","30","KZ","","","","","","P","","P9","",""
"","Acer platanoides 'Palmatifidum'","","","684","A","","","","","spö","T","120-140","C5/7,5",4,"http://fotodendron.se/trad/acer-platanoides-f-palmatifidum/"
"","Acer japonicum","","","720","A","","","","","","T","150","C12",1,""
"","Acer platanoides","","","500","S","","","","","","T","140-160 ","C7,5","",""
"","Arbutus unedo","","","113","KZ","","","","0","","T","","P9","",""
"","Aesculus hybrida 'Stefan Włodarczyk'","","","686","S","","","","","","T","60-80","C5","",""
"","Ampelopsis brevipedunculata","","","120","Li","","glaspärlevin","","2","","K","","P13",30,"https://liplant.shopitoo.com/product.html/ampelopsis-brevipedunculata"
"","Anaphalis triplinervis 'Sommerschnee'","","","42","BS","","","","","","P","","P11","",""
"","Ampelopsis glandulosa 'Elegans'","","","172","S","","","","","","K","90","C2","",""
"","Astilbe chinensis 'Pumila'","",12,"28","BS","","","","","","P","","P9","",""
"","Betula pendula 'Youngii'","","","3334","S","","tårbjörk","","6","","T","180-200 ","C45 Pa","",""
"","Armeria maritima 'Armada™ Deep Rose'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer pseudosiebodianum, stam","","","1160","A","","manchurisk solfjäderslönn","","","","T","220","C10",3,""
"","Acorus gramineus 'Licorice'","","","45","KZ","","lakritssmakande blad och rhizomer","","","","P","","P9","",""
"","Amelanchier alnifolia 'Thiessen'","","","75","KZ","","bärhäggmispel, ätbar","","5","","T","","P9","",""
"","Berberis thunbergii 'Joanna' ","","","126","S","","","","","","T","20-30","C3","",""
"","Berberis thunbergii 'Red Rocket'","","","240","Si","","","","","","T","30-60","C5",9,""
"","Aesculus hippocastanum 'Umbraculifera'","","","1400","S","","","","","","T","160-180","C20 Pa","",""
"","Aubrieta x cultorum 'Cascade Rot'","",12,"28","BS","","","","","","P","","P9","",""
"","Astilbe taquetii 'Superba'","","","62","BS","","","","","","P","","C2","",""
"","Artemisia ludoviciana 'Valerie Finnis'","","","62","BS","","","","","","P","","P11","",""
"","Bergenia cordifolia 'Herbstblüte'","","","357","S","","","","","","P","","C5","",""
"","Aesculus glabra 'Herkenrode'","","","743","S","","","","","","T","80-100","C7,5","",""
"","Asimina triloba","","","135","KZ","","","","","","T","","P7","",""
"","Aster dumosus 'Alice Haslam'","","","42","BS","","","","","","P","","P11","",""
"","Acer palmatum 'Asahi-zuru'","","","3334","S","","","","","","T","100-120","C20","",""
"","Berberis thunbergii 'Golden Rocket'","","","314","S","","","","","","T","40-60","C5","",""
"","Aster dumosus 'Starlight'","","","42","BS","","","","","","P","","P11","",""
"","Berberis thunbergii 'Golden Rocket'","","","240","Si","","","","","","T","20-30","C3",26,""
"","Actinidia purpurea 'Purpurna sadowa'","","","96","KZ","","","","","","K","","P9","",""
"","Abies koreana 'Petite'","","","1600","Si","","","","","","B","30-40","C10",1,""
"","Brunnera macrophylla 'Silver Heart'","","","120","BS","","","","","","P","","C2","",""
"","Acer platanoides 'Tharandt'","","","1257","S","","","","","","T","120-140","C12 Pa","","https://megyeri.cdn.shoprenter.hu/custom/megyeri/image/cache/w900h900wt1/product/d%C3%ADszfa/Acer%20platanoides/acer_platanoides_tharandt_korai_juhar_4.jpg?lastmod=1583840696.1636235085"
"","Achillea millefolium 'Milly Rock Pink'","","","59","Si","","","","","","P","","P13",25,""
"","Acer platanoides 'Columnare'","","","4143","S","","","","","","T","260-280/stamomf 8-10","C45 Pa","",""
"","Betula sp. koppar WC Yumthang Sikkim","","","2200","A","","","","","","T","300","C20",1,""
"","Acer saccharum ex Ramme","","","325","A","","sockerlönn","","","","T","60-100","C3,5",5,""
"","Astilbe japonica 'Deutschland'","","","62","BS","","","","","","P","","C2","",""
"","Achillea x hybr 'Schwellenburg'","",12,"28","BS","","","","","","P","","P9","",""
"","Abeliophyllum distichum","","","457","S","","vinterbuske","","","","T","60-80","C5","","https://www.instagram.com/p/BDoDf9PzUk8/"
"","Astilbe x arendsii 'Flamingo®'","","","62","BS","","","","","","P","","C2","",""
"","Acer japonicum","","","342","A","","","","","","T","30-40","C5",2,""
"","Artemisia ludoviciana 'Silver Queen'","","","90","Li","","vitmalört","","","","P","","C5",3,""
"","Aquilegia vulgaris","","","42","BS","","","","","","P","","P11","",""
"","Aronia melanocarpa 'Elata'","","","342","A","","","","","","T","40-60","C5",10,""
"","Bergenia ciliata 'Dumbo'","","","85","BS","","","","","","P","","C2","",""
"","Berberis thunbergii 'Florence'","","","226","S","","","","","","T","30-40","C3","",""
"","Aesculus hippocastanum 'Wisselink'","","","743","S","","","","","","T","100-120 ","C5","",""
"","Acer platanoides 'Tharandt'","","","1343","S","","","","","","T","140-160","C12 Pa","",""
"","Achillea millefolium 'Apple Blossom'","","","68","S","","","","","","P","","C2","",""
"","Bergenia cordifolia 'Rotblum'","",12,"28","BS","","","","","","P","","P9","",""
"","Aronia melanocarpa 'Nero'","","","180","Si","","","","4","","T","80-100","C2",12,""
"","Aster tongolensis 'Wartburgstern'","",12,"28","BS","","","","","","P","","P9","",""
"","Betula utilis ssp. jacquemontii 'Doorenbos'","","","1095","S","","himalayabjörk","","","","T","140-160","C7,5","",""
"","Ajuga reptans 'Burgund Glow'","",12,"28","BS","","","","","","P","","P9","",""
"","Aster dumosus 'Herbstgruss von Bresserhof'","","","62","BS","","","","","","P","","P11","",""
"","Bergenia 'Bressingham White'","","","268","S","","","","","","P","","C5","",""
"","Betula pendula 'Schneverdingen Goldbirke'","","","1072","S","","","","","","T","320-340","C15","",""
"","Achillea millefolium 'Paprica'","","","98","Si","","","","","","P","","C3",18,""
"","Anemone sylvestris 'Polish Star'","","","85","BS","","","","","","P","","C2","",""
"","Betula pendula","","","4143","S","","","","","","T","320-340/stamomf 10-12","C80","",""
"","Achillea millefolium 'Summer Pastels'","","","42","BS","","","","","","P","","P11","",""
"","Astilbe x arendsii 'Bumalda'","","","62","BS","","","","","","P","","C2","",""
"","Abies nordmanniana 'Kulista'","","","743","S","","","","","","B","30-40","C7,5","",""
"","Amelanchier laevis 'Edelweiss''","","","524","S","","","","","","T","80-100","C5","",""
"","Aesculus flava","","","2288","A","","gulblommig hästkastanj","","","","T","260","C20",1,""
"","Buddleja davidii GROOVY GRAPE 'PIIBD-I' PBR ","","","400","S","","","","","","T","40-60","C5","",""
"","Astilbe japonica 'Vesuvius'","","","62","BS","","","","","","P","","C2","",""
"","Allium altaicum","","","60","KZ","","","","","","P","","P9","",""
"","Berberis ottawensis (x) 'Auricoma'","","","126","S","","","","","","T","60-80","C3","",""
"","Aster novi-belgii 'Dauerblau'","","","62","BS","","","","","","P","","P11","",""
"","Bistorta affinis (Polygonum) 'Donald Lowndes'","",12,"28","BS","","","","","","P","","P9","",""
"","Astilbe x arendsii 'Granat'","","","62","BS","","","","","","P","","C2","",""
"","Bistorta affinis (Polygonum) 'Superbum'","",12,"28","BS","","","","","","P","","P9","",""
"","Betula 'White Light'","","","686","S","","","","","","T","140-160","C7,5","",""
"","Aristolochia macrophylla Ex Mustila","","","252","A","","","","","","T","","C2/3,5",7,""
"","Anemone 'Little Summer Breeze'","","","166","S","","","","","","P","","C3","",""
"","Astilbe thunbergii 'Prof.van der Wielen'","","","62","BS","","","","","","P","","C2","",""
"","Berberis ottawensis (x) 'Superba'","","","126","S","","","","","","T","40-60","C3","",""
"","Achillea filipendulina 'Parkers Varietat'","","","42","BS","","","","","","P","","P11","",""
"","Acer palmatum 'Palmatifidum'","","","3143","S","","","","","","T","60-80","C12","",""
"","Betula ermanii WHITE CHOCOLATE 'WVO2F2' PBR ","","","2114","S","","","","","","T","140-160","C15","",""
"","Acanthus mollis","","","85","BS","","","","","","P","","C2","",""
"","Aesculus flava 'Burning Gold' ","","","1400","S","","","","","","T","140-160","C20 Pa","",""
"","Berberis thunbergii 'Ruby Star' PBR","","","211","S","","","","","","T","25-30","C3","",""
"","Aquilegia caerulea 'Earlybird Purple Blue' TM","","","29","Si","","","","","","P","","P9",260,""
"","Acer pseudoplatanus 'Corstorphinense'","","","1072","S","","","","","","T","160-180","C5","",""
"","Astilbe 'Color Flash Lime'","","","49","Si","","","","","","P","","P11",20,""
"","Betula 'Cacao'","","","2114","S","","","","","","T","200-220","C15","",""
"","Betula utilis ssp. jacquemontii 'Doorenbos'","","","1120","A","","","","","","T","220-250","C7,5",8,""
"","Artemisia schmidtiana 'Nana'","","","42","BS","","","","","","P","","P11","",""
"","Allium senescens","","","62","BS","","","","","","P","","C2","",""
"","Acer platanoides 'Globosum'","","","2240","Si","","","","","ympad på stam","T","Pa 200","C25",1,""
"","Abies koreana 'Silberlocke'","","","4669","S","","","","","","B","","C11 50/60","",""
"","Aster dumosus 'Prof. Anton Kippenberg'","","","42","BS","","","","","","P","","P11","",""
"","Acer palmatum 'Beni-otake' ","","","3929","S","","","","","","T","90-120","C15","",""
"","Acer rubrum 'Scanlon'","","","4429","S","","rödlönn","","","","T","280-300/stamomf  6-8","C45 Pa","","http://fotodendron.se/trad/acer-rubrum-scanlon/"
"","Berberis thunbergii 'Tiny Gold 'PBR ","","","208","Si","","","","","","T","10-20","C2",117,""
"","Buddleja alternifolia 'Unique'","","","168","A","","","","","","T","20-25","C2/3,5",3,""
"","Acer rubrum 'October Glory'","","","280","Li","","rödlönn","","5","","T","40-60","P14",4,""
"","Acer circinatum","","","914","S","","Trevlig lönnart från v. Nordam. med brett, buskigt växtsätt och snygga blad med vinröd höstfärg.","","","","T","100-120","C12","","http://fotodendron.se/trad/acer-circinatum/"
"","Acer tataricum ssp. ginnala","","","364","S","","ginnalalönn","","5","","T","80-100","C5","","https://live.staticflickr.com/65535/51811041874_203e1e8c9f_o.jpg"
"","Achillea 'Sassy Summer Lemon'","","","220","Li","","röllika (gul)","","","","P","","C10",5,""
"","Acer palmatum 'Skeeter's Broom'","","","3406","S","","","","","","T","120-140","C18","",""
"","Bistorta amplexicaulis 'Seven Oaks Village'","","","85","BS","","","","","","P","","C2","",""
"","Acer palmatum 'Villa Taranto'","","","4143","S","","","","","","T","180-200","C30","",""
"","Amelanchier alnifolia 'Martin'","","","392","A","","storfruktig, söt.","","5","","T","40-50","C3,5",10,""
"","Ampelopsis brevipenduculata ex Ullung H&S","","","392","A","","","","","","K","","C7,5",1,""
"","Anthemis carpatica 'Karpatenschnee'","",12,"28","BS","","","","","","P","","P9","",""
"","Ajuga reptans 'Burgundy Glow'","","","95","S","","","","","","P","","C3","",""
"","Berberis thunbergii 'Golden Dream' (PBR)","","","211","S","","","","","","T","30-40","C3","",""
"","Acer negundo 'Elegans'","","","3143","S","","","","","","T","300-320","C30 Pa","",""
"","Adiantum pedatum 'Imbricatum'","","","85","BS","","","","","","O","","P11","",""
"","Abies koreana 'Silberperle'","","","1440","Si","","","","","","B","25-35","C10",2,""
"","Astilbe japonica 'Bonn'","","","62","BS","","","","","","P","","C2","",""
"","Berberis thunbergii 'Thunderbolt' PBR","","","283","S","","","","","","T","30-40","C3","",""
"","Acer palmatum 'Tamukeyama'","","","3810","S","","","","","","T","100-120","C30","",""
"","Berberis thunbergii 'Orange Rocket' (PBR)","","","211","S","","","","","","T","30-40","C3","",""
"","Acer shirasawanum 'Jordan'","","","2500","S","","","","","","T","60-80","C5","","https://youtu.be/bvczZ89pV58"
"","Astilboides tabularis","","","96","BS","","parasollblad","","","","P","","C2","","https://skanekretsen.se/lucka-9-parasollblad/"
"","Betula 'Crimson Frost'","","","629","S","","","","","","T","180-200","C5","",""
"","Aster dumosus 'Kassel'","","","42","BS","","","","","","P","","P11","",""
"","Aethionema oppositifolia","",12,"28","BS","","","","","","P","","P9","",""
"","Androsace sempervivoides","",12,"28","BS","","","","","","P","","P9","",""
"","Anemone tomentosa 'Robustissima'","","","42","BS","","silvrig höstanemon, bra stabil sort","","","","P","","P11","",""
"","Arabis blepharophylla 'Frulingszauber'","",12,"28","BS","","","","","","P","","P9","",""
"","Berberis thunbergii 'Dart's Red Lady'","","","126","S","","","","","","T","20-25","C3","",""
"","Buddleja davidii 'Blue Chip Jr'","","","364","S","","","","","","T","60-80","C5","",""
"","Acer pseudoplatanus 'Průhonice'","","","829","S","","","","","","T","80-100","C7,5","",""
"","Bergenia 'Pink Dragonfly'","","","78","Si","","","","","","P","","P11",28,""
